text,labels,split
Abortion has killed about 56 million PEOPLE !,['FETAL/NEWBORN RIGHTS'],train
"Since that 1973 ruling , more than 55 million lives have been lost to abortion .",['FETAL/NEWBORN RIGHTS'],train
The Centers for Disease Control and Prevention reports [ http :// www.cdc.gov / mmwr / preview / mmwrhtml / ss6311a1.htm ? s _ cid = ss6311a1 _ w ] that from 1973 to 2010 over 400 women who underwent legal abortions in the U.S. were killed by the procedure .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"It is estimated that in 1972 illegal abortions resulted in 39 maternal deaths , which occurred before abortion was legal .",['ILLEGAL ABORTIONS'],train
"With 43.8 million abortions performed worldwide in 2008 , the population increase if abortion were unavailable could be substantial .",['CONSEQUENCES OF CHILDBIRTH'],train
"Around the globe , abortion is shrinking the female population at an alarming rate .",['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"Sex equality arguments observe that abortion restrictions deprive women of control over the timing of motherhood and so predictably exacerbate the inequalities in educational , economic , and political life engen­dered by childbearing and childrearing .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"If so , might abortion restrictions reflect traditional sex-role stereotypes about sex , caregiving , or decision-making around motherhood ?","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"No abortions would be permitted for any reason , including rape or incest .",['RAPE'],train
"Its 2003 nationwide survey of women revealed that a majority of women ( 51 % ) believe abortion should either never be permitted or permitted only for rape , incest , or life endangerment .","[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH', 'RAPE']",train
"Abortion is permitted in only three cases : a severe fetal anomaly , a threat to the mother ’s health and life , or a pregnancy from rape or sexual abuse .","['FETAL DEFECTS/DISABILITIES', 'HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH', 'RAPE']",train
"If the thing that justifies abortion in the first trimester is women ’s bodily autonomy , then abortion continues to be justified in the second and third trimester because the fetus still resides inside her body .","[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'FETAL/NEWBORN RIGHTS']",train
"There is no way to consistently argue that a ) first trimester abortions should be legal because “ it ’s a woman ’s right to decide what to do with her body , ” AND b ) second-trimester abortions should not be legal .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"In terms of which trimester Americans are the most accepting of abortions taking place , about 41 % agree first-trimester abortions should be permitted .",['OTHER'],train
The vast majority of women - 88 % - who have an abortion do so in their first trimester .,['OTHER'],train
"Rather , it is quite compelling simply to say that the vast majority of abortions are "" purely elective "" abortions , done on healthy women with healthy babies .",['FETAL/NEWBORN RIGHTS'],train
Some people believe that prohibiting abortion makes embryos and fetuses more valuable than grown women .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'FETAL/NEWBORN RIGHTS']",train
Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'FETAL DEFECTS/DISABILITIES']",train
"For pregnancies with complications , either threatening the mother ’s life or complications that will guarantee the child ’s suffering , abortion is a difficult choice , but a painless and humane solution .",['HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH'],train
I think it is extremely difficult to explain to anyone how it would be the right thing to do to allow a mother and her unborn child to die when the mother could be saved by an abortion .,['HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH'],train
Abortion is unjust because the right to not be killed is more fundamental than the right to not be pregnant .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'FETAL/NEWBORN RIGHTS']",train
Even then abortion is unjustifiable .,['OTHER'],train
So abortion is just as irresponsible as it is in the previous case .,['OTHER'],train
"Putting it bluntly , abortion is murder .",['FETAL/NEWBORN RIGHTS'],train
ABORTION IS BASICALLY MURDER !,['FETAL/NEWBORN RIGHTS'],train
"Therefore , abortion is murder of a person .",['FETAL/NEWBORN RIGHTS'],train
"Even if you do n't believe abortion is murder , it still demeans the value of human life , since women can so callously stomp out a living being simply because they ' re inconvenienced .",['FETAL/NEWBORN RIGHTS'],train
""" Abortion is the killing of a human being , which defies the word of God .","['MORAL/ETHICAL VALUES', 'FETAL/NEWBORN RIGHTS']",train
"In light of what is explicitly stated about children , and what is explicitly stated about murder , it is fair to conclude that God hates abortion .","['MORAL/ETHICAL VALUES', 'FETAL/NEWBORN RIGHTS']",train
"When one have an abortion , they are n’t thinking “ Oh my god , I hate this baby inside of me .",['OTHER'],train
I ’m going to kill them just because I do n’t like them ” Abortions are n’t done on the whim .,['FETAL/NEWBORN RIGHTS'],train
You do n’t have to like abortion to respect the right of choice .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
There are times when abortion may appear as the only option for the betterment .,['OTHER'],train
There are alternatives to abortion .,['OTHER'],train
Any form of anti-abortion law would then simply be impossible to completely enforce .,['ILLEGAL ABORTIONS'],train
Completely enforcing anti-abortion laws is impossible .,['ILLEGAL ABORTIONS'],train
"Anti-abortion laws create new families consisting of a child and her child , living at the lowest levels of society .",['CONSEQUENCES OF CHILDBIRTH'],train
"Reducing access to abortion does n’t quell the demand for abortion , and making abortion illegal simply makes abortion less safe .",['ILLEGAL ABORTIONS'],train
"If you make an abortion illegal , a woman might seek it anyway and do it unsafely .",['ILLEGAL ABORTIONS'],train
They say that pregnant women will resort to unsafe illegal abortions if there is no legal option .,['ILLEGAL ABORTIONS'],train
"They say abortion inflicts suffering on the unborn child , and that it is unfair to allow abortion when couples who can not biologically conceive are waiting to adopt .","['ADOPTION', 'FETAL/NEWBORN RIGHTS']",train
Abortion is a safe medical procedure .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
Modern abortion procedures are safe and do not cause lasting health issues such as cancer and infertility .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
Abortion is not as safe as natural pregnancy .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
Abortion need not promise to be rare to be secured as safe and legal .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"The Truth : The fact is , although abortion is said to be legal by our corrupt judicial system , it is not safe and easy and certainly not without very serious harmful and long lasting physical , emotional , psychological , as well as spiritual consequences .","['PSYCHOLOGICAL EFFECTS OF ABORTION', 'SAFETY/HEALTH EFFECTS OF LEGAL ABORTION']",train
I think it is perfectly possible to consider abortion immoral and still maintain it should be legal .,['MORAL/ETHICAL VALUES'],train
"But if abortion involves the intentional murder of a human person , then we ca n't just say , "" I think it ' s immoral but should also be legal .",['FETAL/NEWBORN RIGHTS'],train
Abortion is morally wrong .,['MORAL/ETHICAL VALUES'],train
Abortion is wrong because it is taking a human life .,['FETAL/NEWBORN RIGHTS'],train
"If the loss of our valuable future is what makes killing you and me wrong , then abortion is equally wrong , because it deprives the fetus of its “ future like ours ” .",['FETAL/NEWBORN RIGHTS'],train
"But since a fetus does have such a future , the "" overwhelming majority "" of deliberate abortions are placed in the "" same moral category "" as killing an innocent adult human being .",['FETAL/NEWBORN RIGHTS'],train
"They argue that a human fetus is a human being with a right to live , so abortion is similar to murder .",['FETAL/NEWBORN RIGHTS'],train
"Opponents , identifying themselves as pro-life , contend that personhood begins at conception , and therefore abortion is the immoral killing of an innocent human being .",['FETAL/NEWBORN RIGHTS'],train
"The “ pro-life ” concerns of abortion foes are only for fetal lives , not the lives of women or unwanted babies .",['FETAL/NEWBORN RIGHTS'],train
"In the United States , pro-life groups favor greater legal restrictions on abortion , or even the complete prohibition of it .",['OTHER'],train
"This does n't make abortion right or wrong , but the abortion industry ' s consistent efforts to downplay the physical pain of abortion hints at a broader agenda .","['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION', 'ABORTION INDUSTRY']",train
Many abortion supporters have a huge financial stake in keeping abortion legal .,['ABORTION INDUSTRY'],train
"Among this group , 46 percent said abortion should be legal in all or most cases .",['OTHER'],train
A Stanford University study shows lower rates of abortion complications for American states with those same types of laws .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"Because of the risks of illegal abortions , the difference will be greatly felt in the mortality rate .",['ILLEGAL ABORTIONS'],train
"If abortion were illegal , well-intentioned but unskilled practitioners would perforate uteruses , misjudge the length of gestation , do incomplete abortions , and otherwise botch the procedure .",['ILLEGAL ABORTIONS'],train
"Access to legal , professionally-performed abortions reduces maternal injury and death caused by unsafe , illegal abortions .",['ILLEGAL ABORTIONS'],train
"Legal abortion helps parents limit their families to the number of children they want and can afford , both financially and emotionally .",['CONSEQUENCES OF CHILDBIRTH'],train
"On both sides , I often encounter ignorance as to why women might choose to seek late term abortions in the first place ( although this is more prevalent among pro-lifers ) , and about the relevant physiological details in terms of fetal development near viability .",['FETAL/NEWBORN RIGHTS'],train
"people that refuse to be educated … on why women need access to late-term abortions , also further complicated by the fact that there are only a handful of late-term abortion providers that are qualified to do late-term abortions in the U.S .",['OTHER'],train
"When coupled with laws aimed at eliminating early access to abortion , current late term abortion bans seem more about further preventing women from accessing abortion than a good-faith attempt at balancing women ’s reproductive rights with bioethical concerns .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"Unfortunately , and ironically , anti-abortion legislation in multiple states aimed at reducing access by closing abortion clinics with unnecessary restrictions or requiring extra hurdles for women to obtain abortions ( like mandatory delay , ultrasounds , and / or counseling ) , has a counterproductive effect .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"Since it is less expensive to subsidize an abortion than childbirth and subsequent welfare , the anti-abortion financial argument is invalid as well as inhumane .",['CONSEQUENCES OF CHILDBIRTH'],train
Abortion reduces welfare costs to taxpayers .,['CONSEQUENCES OF CHILDBIRTH'],train
Cutting off Medicaid abortion actually increased poverty by trapping mothers of young children in the poverty / welfare cycle .,"['CONSEQUENCES OF CHILDBIRTH', 'FUNDING OF ABORTION']",train
And abortion greatly increased the incidence of miscarriage in future pregnancies .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"An abortion can result in medical complications later in life ; the risk of ectopic pregnancies doubles , and the chance of a miscarriage and pelvic inflammatory disease also increases .",['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"< br /> - Because an abortion is a surgery there is a risk of damaging the nearby organs ( i.e. Ovaries ) , but due to the nature of this part of the body there can be serious consequences to the reproductive future of women .",['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"While some surgeries carry a risk of harm , abortion is intended to harm .",['FETAL/NEWBORN RIGHTS'],train
Unsafe abortions occur when they are performed by individuals without adequate medical skills or in an unhygienic environment .,['ILLEGAL ABORTIONS'],train
"So instead of getting an abortion in a controlled environment where there is one last chance for counseling on options , women may subject themselves to a potentially dangerous situation .",['ILLEGAL ABORTIONS'],train
Abortion should not be used as another form of contraception .,['RESPONSIBILITY'],train
This suggests that many women are using abortion as a contraceptive method .,['RESPONSIBILITY'],train
"It is not absolutely impossible to imagine a world in which contraception , and post-conception medication , are so widely available that abortion indeed is safe , legal , and rare .","['RESPONSIBILITY', 'SAFETY/HEALTH EFFECTS OF LEGAL ABORTION']",train
"In a society where contraceptives are so readily available , there should be no unwanted pregnancies and therefore no need for abortion .",['RESPONSIBILITY'],train
Making contraceptives and abortion available only encourages them to have sex .,['MORAL/ETHICAL VALUES'],train
That some women ( and men ) are careless about birth control is irrelevant to the legality of abortion .,['RESPONSIBILITY'],train
"Other birth control is readily available ; thus , abortion should n't be a form of birth control .",['RESPONSIBILITY'],train
Modern medicine makes abortion is less of a risk .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"Advancements in the medical field have dramatically reduced complications from abortion , studies show that it is actually safer than carrying a pregnancy to full term .","['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION', 'HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH']",train
"However , the later in pregnancy an abortion is performed the more risky it becomes .",['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
- Having an abortion done always carries the risk of not being able to become pregnant ever again in life .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"I , personally , would only have an abortion if my life depended on it .",['HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH'],train
"Maybe if abortion was n't available , people would n't be so careless in the first place .",['RESPONSIBILITY'],train
"As a result , countries that have restrictive abortive laws have more women that seek unsafe abortions .",['ILLEGAL ABORTIONS'],train
"Regardless of what laws are in place , there will always be young women out there who want to have an abortion .","[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'ILLEGAL ABORTIONS']",train
"Without legalized abortion , a lot more women will become parents whether or not they want to be and whether or not they ' re ready to be .",['CONSEQUENCES OF CHILDBIRTH'],train
"In reality , the vast majority of women who have abortions either already are or go on to be devoted moms .",['CONSEQUENCES OF CHILDBIRTH'],train
Abortion may lead to future medical problems for the mother .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
The morality of abortion is not directly tied to the risks it poses to the mother .,"['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION', 'MORAL/ETHICAL VALUES']",train
Abortion is not a question of morality it is a question of providing options to prevent and mitigate risks in certain circumstances .,['MORAL/ETHICAL VALUES'],train
"Poverty , rape , disability or “ unwantedness ” do not morally justify abortion .","['CONSEQUENCES OF CHILDBIRTH', 'FETAL DEFECTS/DISABILITIES', 'MORAL/ETHICAL VALUES', 'RAPE']",train
The legalization of abortion sends a message that human life has little value .,"['MORAL/ETHICAL VALUES', 'FETAL/NEWBORN RIGHTS']",train
Legalized abortion is a sign of the moral decay that is destroying America .,['MORAL/ETHICAL VALUES'],train
"Many times I think Sen . Ted Kennedy said it best "" While the deep concern of a woman bearing an unwanted child merits consideration and sympathy , it is my personal feeling that the legalization of abortion on demand is not in accordance with the value which our civilization places on human life .",['FETAL/NEWBORN RIGHTS'],train
""" Likewise , I am saying , if you insist that abortion is the murder of children by their own mothers , and you want to criminalize abortion , you must treat women who procure abortions as murderers .",['FETAL/NEWBORN RIGHTS'],train
""" A law criminalizing abortion as murder that did not hold the mother responsible in some way for procuring and abortion would tell a mother that although abortion is murder , she is free to murder her own children and pay no penalty for it .",['FETAL/NEWBORN RIGHTS'],train
"After all , abortion implies denying someone a well-deserved life .",['FETAL/NEWBORN RIGHTS'],train
"Like any act of homicide , abortion steals from its victims their future life .",['FETAL/NEWBORN RIGHTS'],train
"Abortion punishes the unborn child who committed no crime ; instead , it is the perpetrator who should be punished .",['FETAL/NEWBORN RIGHTS'],train
People who have done an abortion should be sentenced to jail for life .,['OTHER'],train
"Those who perform , procure , or receive abortions should be executed .",['OTHER'],train
Those who object to abortion are exempted from participating in them even when it might normally be part of their job duties .,['OTHER'],train
"Yet still , I think women * should * be held legally responsible for procuring an abortion , to the extent they understand what they are doing .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
A “ states ’ rights ” amendment would return women to the days when medically safe abortions were reserved for those who lived in pro-choice states or who could pay for travel or high-priced illegal practitioners .,['ILLEGAL ABORTIONS'],train
"Constitutional rights are for all Americans , not just those in states where legislators refuse to allow abortion .",['FETAL/NEWBORN RIGHTS'],train
“ Abortion ” is not mentioned in the Constitution .,['OTHER'],train
""" Allowing abortion conflicts with the unalienable right to life recognized by the Founding Fathers of the United States .",['FETAL/NEWBORN RIGHTS'],train
Abortion is simply taking out a fetus one can not take care of or is not ready for .,['CONSEQUENCES OF CHILDBIRTH'],train
Abortion is is not just taking out a “ fetus ” it is simply ending a human a life .,['FETAL/NEWBORN RIGHTS'],train
"Abortion is the ending of a fetus , a potential human being , yes , okay .",['FETAL/NEWBORN RIGHTS'],train
"Embryos and fetuses are not independent , self-determining beings , and abortion is the termination of a pregnancy , not a baby .",['FETAL/NEWBORN RIGHTS'],train
An accurate understanding of prenatal development makes it impossible to argue that abortion is the mere removal of undifferentiated cell tissue or that the developing embryo is simply a part of the mother ' s body .,['FETAL/NEWBORN RIGHTS'],train
Pro-abortion people insist that the fetus is nothing but a worthless blob of tissue .,['FETAL/NEWBORN RIGHTS'],train
"If the fetus is n’t a person , I think abortion is obviously justified , do n’t you ?",['FETAL/NEWBORN RIGHTS'],train
It seems like you ’re justifying abortion by claiming that a fetus does n’t count as a human person until twenty weeks .,['FETAL/NEWBORN RIGHTS'],train
"The bodily rights claim is n’t sufficient by itself to justify abortion because as soon as you think the fetus is human , you do n’t think abortion is justified .","[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'FETAL/NEWBORN RIGHTS']",train
"The right to abortion is based on the right of privacy , not equal rights .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"While admitting that abortion is not in the text of the Constitution , they nevertheless ruled that a right to abortion was part of an implied "" right to privacy "" that the Court had fashioned in previous rulings regarding contraception regulations .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"The heart of their argument was that abortion , a common and very safe medical procedure , was being singled out for different treatment than much riskier out-patient procedures and in a way that made no medical sense .",['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"The original text of the Hippocratic Oath , traditionally taken by doctors when swearing to practice medicine ethically , forbids abortion .",['MORAL/ETHICAL VALUES'],train
""" The modern version of the Hippocratic Oath , written in 1964 by Luis Lasagna , still effectively forbids doctors from performing abortions in the line , "" Above all , I must not play at God .",['MORAL/ETHICAL VALUES'],train
The Hippocratic Oath was revolutionary in its unyielding devotion to the preservation of individual human life .,['MORAL/ETHICAL VALUES'],train
"The documents of our founding fathers state that we are all entitled to life , liberty , and the pursuit of happiness .","['MORAL/ETHICAL VALUES', 'FETAL/NEWBORN RIGHTS']",train
"We usurp the power that belongs solely to the Creator , and deny the basis of our claim to human rights . """,['MORAL/ETHICAL VALUES'],train
Suppose you believe that all human beings have rights .,['FETAL/NEWBORN RIGHTS'],train
I believe that all humans are endowed with certain rights .,['FETAL/NEWBORN RIGHTS'],train
"Either all human beings have rights , or only some human beings have rights .",['FETAL/NEWBORN RIGHTS'],train
"If all humans are human , and if all humans have a right to life , and if the law must protect human rights , then the law must protect the right to life of all humans .",['FETAL/NEWBORN RIGHTS'],train
"No right is more precious and fundamental than the right to life , and any just society should protect that right at every stage , from conception to natural death . """,['FETAL/NEWBORN RIGHTS'],train
The right to life must be protected .,['FETAL/NEWBORN RIGHTS'],train
"This individual has a fundamental right to life , which must be protected .",['FETAL/NEWBORN RIGHTS'],train
Each person has the fundamental right to life and all that it entails .,['FETAL/NEWBORN RIGHTS'],train
"Critics of this position argue that mere genetic potential is not a plausible basis for respect ( or for the right to life ) , and that basing a right to life on natural capacities would lead to the counterintuitive position that anencephalic infants , irreversibly comatose patients , and brain-dead patients kept alive on a medical ventilator , are all persons with a right to life .",['FETAL/NEWBORN RIGHTS'],train
"Others reject this position by drawing a distinction between human being and human person , arguing that while the fetus is innocent and biologically human , it is not a person with a right to life .",['FETAL/NEWBORN RIGHTS'],train
"According to this argument , if it is not known for certain whether something ( such as the fetus ) has a right to life , then it is reckless , and morally wrong , to treat that thing as if it lacks a right to life ( for example by killing it ) .",['FETAL/NEWBORN RIGHTS'],train
"These lists diverge over precisely which features confer a right to life , but tend to propose various developed psychological or physiological features not found in fetuses .",['FETAL/NEWBORN RIGHTS'],train
"Critics of this typically argue that some of the proposed criteria for personhood would disqualify two classes of born human beings – reversibly comatose patients , and human infants – from having a right to life , since they , like fetuses , are not self-conscious , do not communicate , and so on .",['FETAL/NEWBORN RIGHTS'],train
"But at least "" pro-choice "" politicians who believe the fetus is not a child are being morally consistent .",['FETAL/NEWBORN RIGHTS'],train
Pro-choice advocates claim this is n't a real baby only to justify their wrong acts in their own minds .,['FETAL/NEWBORN RIGHTS'],train
"The truth : The fact that it remains the mother ' s choice to keep her baby , and most do , does nothing to justify the continued killing of innocent life in the womb .",['FETAL/NEWBORN RIGHTS'],train
The baby has no rights inside the mothers womb and the mother gets to do what ever she wants with it .,['FETAL/NEWBORN RIGHTS'],train
We as parents are supposed to protect our children at all costs whether they are in the womb or not .,['FETAL/NEWBORN RIGHTS'],train
The uterus ’s purpose seems clear : to support the life of an unborn child .,['FETAL/NEWBORN RIGHTS'],train
The fetus is not yet a human being because it can not survive outside the uterus on its own .,['FETAL/NEWBORN RIGHTS'],train
"The truth : Even after a baby ( not a fetus ) is born he or she is not able to exist independent of the mother or someone to meet the basic needs of food , shelter and protection from the many dangers of living outside the womb .",['FETAL/NEWBORN RIGHTS'],train
"The truth : The baby in the womb is not "" her body "" , it is a separate human life ( see pro death reason # 2 ) protected by God ' s law and the constitution of the United States .","[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'MORAL/ETHICAL VALUES', 'FETAL/NEWBORN RIGHTS']",train
Babies are people even if they are in the womb .,['FETAL/NEWBORN RIGHTS'],train
Babies are people too .,['FETAL/NEWBORN RIGHTS'],train
You could easily give the baby up for adoption instead of KILLING IT !,"['ADOPTION', 'FETAL/NEWBORN RIGHTS']",train
"For a married woman , especially one with other children , giving a baby up for adoption is virtually impossible .",['ADOPTION'],train
Giving up a child for adoption can be just as emotionally damaging as having an abortion .,"['PSYCHOLOGICAL EFFECTS OF ABORTION', 'ADOPTION']",train
"There ' s no doubt that some women suffer psychological damage from having an abortion ; however , the damage done from giving a child up for adoption is much worse .","['PSYCHOLOGICAL EFFECTS OF ABORTION', 'ADOPTION']",train
"Women who have abortions often suffer major psychological damage from the experience along with , in some cases , the father of the child .",['PSYCHOLOGICAL EFFECTS OF ABORTION'],train
Abortion causes psychological damage to women .,['PSYCHOLOGICAL EFFECTS OF ABORTION'],train
"Like any other difficult situation , abortion creates stress .",['PSYCHOLOGICAL EFFECTS OF ABORTION'],train
"Abortion persists because of ignorance , apathy and confusion .",['OTHER'],train
Spontaneous abortion stacks the odds in favor of healthy babies being born to healthy moms who will be able to nurse them .,['OTHER'],train
"The study also found that "" pregnancy-related complications were more common with childbirth than with abortion .",['HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH'],train
"Laws against abortion have the practical effect of sweeping under the rug the "" root causes "" which must be addressed in order to celebrate and support childbirth in such circumstances .",['OTHER'],train
"This has led , on the pro-life side , to a sometimes prevalent impression that abortions for fetal defects are never necessary , but rather an excuse for “ lazy ” women to get rid of children that do n’t meet their ideals .",['FETAL DEFECTS/DISABILITIES'],train
"The second problem with the pro-life view that abortions are never necessary for fetal defects is that it heavily downplays the importance of abortions of wanted pregnancies performed for almost invariably fatal defects like anencephaly , a condition ( seen below ) in which much or all of the brain fails to form .",['FETAL DEFECTS/DISABILITIES'],train
First and foremost is the severity of the misperception of why women have abortions for non-lethal fetal defects .,['FETAL DEFECTS/DISABILITIES'],train
Significant risk factors ( like breast cancer ) have been associated with abortion .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"If a woman has a family history of breast cancer , she increases her risk of developing this disease by going through with an abortion .",['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
according to studies done by Dr. Janet Daling there is reported fifty percent increase of breast cancer among women under forty five who had induced abortions .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
They found [ http :// www.aaplog.org / position-and-papers / partial-birth-abortion / aaplog-statement-on-the-association-of-induced-abortion-and-the-subsequent-development-of-breast-cancer /] that a woman ’s risk of developing breast cancer was 50 % higher if she had had an abortion .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"This alleged link is not supported by the scientific literature , and the ostensible link between breast cancer and induced abortion is explicitly rejected by the medical community .",['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"Did you know that approximately 93 % of all induced abortions are done social or for elective , non-medical reasons ... THAT ' S SICK !!!!!! !","[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH']",train
"Abortion expects nothing more of men , nothing more of medicine , and nothing more of society at large .",['OTHER'],train
""" Women who are denied abortions are more likely to become unemployed , to be on public welfare , to be below the poverty line , and to become victims of domestic violence .",['CONSEQUENCES OF CHILDBIRTH'],train
“ Women do n’t have abortions because they are promiscuous and it ’s convenient .,['MORAL/ETHICAL VALUES'],train
Women have abortions for their own convenience or on “ whim . ”,['MORAL/ETHICAL VALUES'],train
Abortion often leaves women with a lifetime of mental anguish .,['PSYCHOLOGICAL EFFECTS OF ABORTION'],train
"The “ abortion mentality ” leads to infanticide , euthanasia , and killing of retarded and elderly persons .","['MORAL/ETHICAL VALUES', 'FETAL/NEWBORN RIGHTS']",train
This selfishness is so obvious and disgusting that abortion proponents manufacture and inflate all sorts of ridiculous situations to make their case as though the only option is to kill . ”,['FETAL/NEWBORN RIGHTS'],train
Anyone who even thinks about having an abortion is mentally messed up because that is killing someone ' s life that could happen .,['FETAL/NEWBORN RIGHTS'],train
There are many more decisions other than getting an abortion .,['OTHER'],train
Most think the abortion decision should be left to a woman and her doctor .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"The father may even want the child , but he has no choice if the mother chooses abortion .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"If men were forced to be a father to their child like the mother has to be , making abortion illegal would be less popular than it is now .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
If we make abortion illegal then what makes it unreasonable to put the responsibility on the male aswell .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"And for the opposite take , please read ListLand.com ’s Top 10 Reasons Abortion Should Be Illegal .",['OTHER'],train
"2 ) Many abortion bans make exceptions for maternal life , but not maternal health .",['HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH'],train
"Sadly , recent state level abortion bans in the US that make exceptions for the life but not the health of the mother suffer from the exact same problem .",['HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH'],train
"By legalizing abortion , we take those rights away from a future American citizen .",['FETAL/NEWBORN RIGHTS'],train
"As we continue to expose the truth about abortion law and practice , we will move closer to the day that abortion policy making is returned to the people .",['OTHER'],train
