sentence,labels
"In sum , there is a case for government intervention to improve the economic competitiveness of nuclear plants and avoid early closures .",['ENERGY_POLICY']
"The social structures which favour and in turn are favoured by nuclear power include capitalism , patriarchy , the intellectual division of labour and the state .",['ENERGY_POLICY']
Let ’s not exclude clean and safe nuclear energy .,['ACCIDENTS/SECURITY']
In the light of the twin towers atrocity this is a completely unacceptable risk .,['ACCIDENTS/SECURITY']
"There are now many hundreds of reactor years of experience , and Chernobyl was the only accident that injured the public .",['ACCIDENTS/SECURITY']
"We need a safe , genuinely sustainable , global and green solution to our energy needs , not a dangerous diversion like nuclear power .",['ACCIDENTS/SECURITY']
Secondly there are some downs the downs are if a earthquake happens or tsunami happens the power plant will have a explosion and if we have a meltdown which radiation zone .,['ACCIDENTS/SECURITY']
A similar accident happened in Japan in 2011 after a tsunami hit the Fukushima Nuclear Power Plant .,['ACCIDENTS/SECURITY']
Such a terrorist act would have catastrophic effects for the whole world .,['ACCIDENTS/SECURITY']
"Do we really want to invest in more fission technology , LFTR and similar , when LENR do not have these problems ?",['TECHNOLOGICAL_INNOVATION']
Even with only 0.1 % loss and a 10 day cycle something like 2 / 3 of the thorium would end up in the wast .,['TECHNOLOGICAL_INNOVATION']
"There are technological innovations in the wings at the moment that will make it much quicker to build nuclear power stations , he said .",['TECHNOLOGICAL_INNOVATION']
The fuel salt is not suited for long term or intermediate storage : like in the MSRE reactor experiment it would disintegrate and very likely get set free in case such a ship would sink .,['TECHNOLOGICAL_INNOVATION']
It ' s precisely the memories of Fukushima and the 1986 Chernobyl disaster that make thorium reactors seem appealing to some .,['TECHNOLOGICAL_INNOVATION']
"LFTR proponents are just getting a “ free ride ” at public expense , just like all the waste Tokomak fusion research ( 100 billion USD ) , that has not yet yielded any commercial fusion reactor design ?",['TECHNOLOGICAL_INNOVATION']
"Having studied many reports and original ORNL documents regarding LFTR , it turns out that LFTR is truly dreadful technology .",['TECHNOLOGICAL_INNOVATION']
The intimate connection between nuclear power production and nuclear weapons is inescapable .,['WEAPONS']
The local fuel processing of the breeder and burner configurations eliminates the possibility of diversion during transport .,['WEAPONS']
Citizens do not want nuclear weapons because they know they are insanely dangerous and what they want is to live without the threat of sudden and complete annihilation hanging over them and their children at all times .,['WEAPONS']
Reprocessing spent fuel gives rise to plutonium which is likely to be used in bombs .,['WEAPONS']
"Hence , without a nuclear power program , justified as the peaceful use of unlimited , cheap , and safe energy , it is not possible to realistically generate the required amount of plutonium for nuclear weapons .",['WEAPONS']
"All traded uranium is sold for electricity production only , and two layers of international safeguards arrangements confirm this .",['WEAPONS']
People around the world stood aghast at the apocalyptic destruction wreaked on Japan during a few hellish minutes when the United States dropped the nuclear bombs Little Boy and Fat Man on the cities of Hiroshima and Nagasaki .,['WEAPONS']
It remains up to nuclear and renewable energies to fill the gap .,['RENEWABLES']
"[ ... ] Renewable energy , on the other hand , is the cleanest , safest and most reliable form of power generation . """,['RENEWABLES']
Even the much heralded solar energy has the potential to be incorporated into these structures if it develops in certain ways .,['RENEWABLES']
Nuclear energy will compete with and squeeze out renewable energy .,['RENEWABLES']
"The world can be powered by wind , water and sun alone .",['RENEWABLES']
"Similarly , wind power generates no waste and can sustain our planet for millenia to come .",['RENEWABLES']
"When there are so many cheaper , safer , cleaner and more sustainable alternatives , why the debate ?",['RENEWABLES']
