sentence,labels
"Marijuana use is associated with cognitive difficulties and influences attention , concentration , and short-term memory .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
"Marijuana use is associated with memory loss , cancer , immune system deficiencies , heart disease , and birth defects , among other conditions .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
"Research has discovered a link between marijuana use and mental illnesses , such as schizophrenia and depression .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
"Research has also found links between marijuana use and several mental health issues such as anxiety , depression , short-term psychosis , suicidal thoughts and schizophrenia .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
"However , it is clear that marijuana use plays some role in the mental health picture .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
"Though researchers are not sure yet if the drug really triggered such conditions or if smokers turned to the drug to mediate the symptoms on their own , but it is clear that smoking weed plays a role in the picture of mental health .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
Research has shown that marijuana consumption may also cause “ psychotic symptoms . ”,['HEALTH/PSYCHOLOGICAL_EFFECTS']
A recent Northwestern University study found that marijuana users have abnormal brain structure and poor memory and that chronic marijuana abuse may lead to brain changes resembling schizophrenia .,"['HEALTH/PSYCHOLOGICAL_EFFECTS', 'DRUG_ABUSE']"
"Here ’s the kicker : Studies show even casual marijuana use causes abnormalities in the density , volume and shape of the brain .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
Marijuana use can permanently impair brain development .,['HEALTH/PSYCHOLOGICAL_EFFECTS']
Developing brains and bodies can be dealt serious blows by the use of marijuana .,['HEALTH/PSYCHOLOGICAL_EFFECTS']
"The problem would be even worse for marijuana use , which can deal serious blows to developing minds and bodies .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
Marijuana has a very low risk of abuse .,['DRUG_ABUSE']
Marijuana users have a higher risk of cancer then cigarette smokers .,"['HEALTH/PSYCHOLOGICAL_EFFECTS', 'LEGAL_DRUGS']"
Cannabis is less harmful than alcohol or tobacco .,"['HARM', 'LEGAL_DRUGS']"
"In fact , compared to alcohol , marijuana is not safe .","['HARM', 'LEGAL_DRUGS']"
"Thus , while it is true that both alcohol and marijuana are less intoxicating than other mood-altering drugs , that is not to say that marijuana is especially similar to alcohol or that its use is healthy or even safe .","['HARM', 'HEALTH/PSYCHOLOGICAL_EFFECTS', 'LEGAL_DRUGS']"
"Marijuana is less addictive than tobacco or alcohol , and compares favorably to those drugs on nearly every health metric .","['LEGAL_DRUGS', 'ADDICTION']"
Most doctors believe that marijuana is no more addictive that alcohol or tobacco .,"['LEGAL_DRUGS', 'ADDICTION']"
"There is honest debate among scientists about the health effects of marijuana , but we believe that the evidence is overwhelming that addiction and dependence are relatively minor problems , especially compared with alcohol and tobacco .","['HEALTH/PSYCHOLOGICAL_EFFECTS', 'LEGAL_DRUGS', 'ADDICTION']"
"“ There is honest debate among scientists about the health effects of marijuana , ” the Times writes , “ but we believe that the evidence is overwhelming that addiction and dependence are relatively minor problems , especially compared with alcohol and tobacco .","['HEALTH/PSYCHOLOGICAL_EFFECTS', 'LEGAL_DRUGS', 'ADDICTION']"
"First , marijuana is far more likely to cause addiction .",['ADDICTION']
"Addiction treatment specialists , however , have seen firsthand that long term use does lead to marijuana addiction .",['ADDICTION']
Studies show that marijuana use often progresses to the use of harder drugs .,['GATEWAY_DRUG']
"The study also reported that the younger the person starts using marijuana , the worse the effects become .",['CHILD_AND_TEEN_SAFETY']
"Teens who use marijuana are more likely to engage in delinquent and dangerous behavior , and experience increased risk of schizophrenia and depression , including being three times more likely to have suicidal thoughts .","['CHILD_AND_TEEN_SAFETY', 'HEALTH/PSYCHOLOGICAL_EFFECTS']"
Marijuana-using teens are more likely to have multiple sexual partners and engage in unsafe sex .,['OTHER']
"On the other hand , some supporters think changing the perception of marijuana from a party drug to a medication might make it less attractive to teens wanting to defy or rebel .","['CHILD_AND_TEEN_SAFETY', 'MEDICAL_MARIJUANA']"
"Marijuana affects teens and their ability to concentrate in school , and drug-using parents will neglect or abuse their children .","['CHILD_AND_TEEN_SAFETY', 'HEALTH/PSYCHOLOGICAL_EFFECTS']"
"Marijuana impacts young people ' s mental development , their ability to concentrate in school , and their motivation and initiative to reach goals .","['CHILD_AND_TEEN_SAFETY', 'HEALTH/PSYCHOLOGICAL_EFFECTS']"
"Teachers , coaches , guidance counselors , and school principals have seen the negative effect of marijuana on their students .",['CHILD_AND_TEEN_SAFETY']
Educators know that students using marijuana underperform when compared to their non-using peers .,['CHILD_AND_TEEN_SAFETY']
... Students who use marijuana have lower grades and are less likely to get into college than nonsmokers .,['CHILD_AND_TEEN_SAFETY']
"REBUT : Actually , there are MANY marijuana users that do not use other drugs as well , Me personally , and my friends .",['GATEWAY_DRUG']
"Marijuana use is generally thought of as a "" victimless crime "" , in that only the user is being harmed .",['PERSONAL_FREEDOM']
"Marijuana use is n't truly a "" victimless crime "" when you consider all the crimes that may be committed when the user is under the influence of the drug .","['HEALTH/PSYCHOLOGICAL_EFFECTS', 'PERSONAL_FREEDOM']"
"Contrary to what is stated above , marijuana use can not be considered a truly “ victimless crime ” , knowing all the crimes that might be committed when users are under the influence .","['HEALTH/PSYCHOLOGICAL_EFFECTS', 'PERSONAL_FREEDOM']"
"Smoking weed is generally considered as a “ victimless crime ” , where only the user is at risk of experiencing the effects .",['PERSONAL_FREEDOM']
"Other harder crimes , such as robbery and rape , can also be caused by the lapse in judgment due to smoking weed .","['COMMUNITY/SOCIATAL_EFFECTS', 'HEALTH/PSYCHOLOGICAL_EFFECTS']"
"Also , there ' s always the possibility that the lapse in judgment caused by drug use will lead to harder crimes like rape or robbery .","['COMMUNITY/SOCIATAL_EFFECTS', 'HEALTH/PSYCHOLOGICAL_EFFECTS']"
The use of drugs changes behavior and causes criminal activity because people will do things they would n't do if they were rational and free of the drug ' s influence .,['HEALTH/PSYCHOLOGICAL_EFFECTS']
Psychoactive drugs can have a powerful impact on behavior which may influence some people to commit crimes that have nothing to do with supporting the cost of their drug use .,['HEALTH/PSYCHOLOGICAL_EFFECTS']
"Eliminate that criminal sanction ( and moral disapprobation ) , and more youth will use the drug , harming their potential and ratcheting up treatment costs .","['COMMUNITY/SOCIATAL_EFFECTS', 'CHILD_AND_TEEN_SAFETY']"
"Considering this likely consequence , not to mention the economic burden of regulating the drug and treating new problematic users , we may find that the societal costs of legalization outweigh the benefits .","['COMMUNITY/SOCIATAL_EFFECTS', 'NATIONAL_BUDGET']"
Legalization would increase the chances of the drug falling into the hands of kids .,['CHILD_AND_TEEN_SAFETY']
in Legalizing Drugs Would Increase Drug Use .,['COMMUNITY/SOCIATAL_EFFECTS']
in Legalizing Drugs Would Reduce Crime .,['COMMUNITY/SOCIATAL_EFFECTS']
in Legalizing Drugs Would Not Reduce Crime .,['COMMUNITY/SOCIATAL_EFFECTS']
Legalizing drugs would make drugs reasonably cheap .,['OTHER']
In Legalizing Drugs Would Benefit the United States .,['OTHER']
"Legalization , then , could increase societal and financial costs for treating those who are introduced to heavier drugs by smoking marijuana .","['GATEWAY_DRUG', 'NATIONAL_BUDGET']"
"Marijuana legalization , then , could increase societal and financial costs for the treatment of those introduced to heavier drugs by smoking it .","['GATEWAY_DRUG', 'NATIONAL_BUDGET']"
The legalization of marijuana could help in producing more money for the government by them taxing it and have more jobs for the economy .,['NATIONAL_BUDGET']
"Legalization of marijuana would free up those people to concentrate on more important things like terrorism , harder drugs , rape , murder , and so on .",['COMMUNITY/SOCIATAL_EFFECTS']
"Legalization of marijuana would increase demand for the drug and almost certainly exacerbate drug-related crime , as well as cause a myriad of unintended but predictable consequences .",['COMMUNITY/SOCIATAL_EFFECTS']
Legalizing marijuana would serve only to compound the problems already associated with drug use .,['HARM']
"There is strong evidence to suggest that legalizing marijuana would serve little purpose other than to worsen the state ’s drug problems — addiction , violence , disorder , and death .",['ADDICTION']
"Ironically , the legalization of marijuana might actually hurt most those who depend on it for their current livelihood and espouse its consumption .",['ILLEGAL_TRADE']
Citizens also should not overlook what may be the greatest harms of marijuana legalization : increased addiction to and use of harder drugs .,"['GATEWAY_DRUG', 'ADDICTION']"
"It is impossible to predict the precise consequences of legalization , but the experiences of places that have eased restrictions on marijuana are not positive .",['HARM']
"Furthermore , studies have shown that legalized marijuana will provide nowhere near the economic windfall proclaimed by some proponents .",['NATIONAL_BUDGET']
"Policies aimed at legalizing marijuana will result in a myriad of unintended but predictable consequences , including increased usage by minors , additional drug trafficking by criminal syndicates , and an increase in crime .","['COMMUNITY/SOCIATAL_EFFECTS', 'CHILD_AND_TEEN_SAFETY', 'ILLEGAL_TRADE']"
"Increased drug use , negative health effects , and negative effects on families are all the outcomes of legalizing marijuana .","['COMMUNITY/SOCIATAL_EFFECTS', 'HEALTH/PSYCHOLOGICAL_EFFECTS']"
Legalization of marijuana would also inflict a series of negative consequences on neighborhoods and communities .,['COMMUNITY/SOCIATAL_EFFECTS']
Legalizing marijuana would also lead to negative effects on families .,['COMMUNITY/SOCIATAL_EFFECTS']
"If marijuana stays illegal , these negative effects will lessen .",['OTHER']
Marijuana ’s negative effects go beyond slacking .,['HARM']
"And it gets worse : Marijuana has toxic properties that can result in birth defects , pain , respiratory system damage , brain damage , and stroke .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
"Although some studies have been disputed , marijuana abuse has been tied to brain damage , cancer , lung damage , depression , amotivational syndrome , and even death .","['DRUG_ABUSE', 'HEALTH/PSYCHOLOGICAL_EFFECTS']"
"What we do know is that marijuana is harmful , particularly for the still-developing adolescent brain .",['CHILD_AND_TEEN_SAFETY']
There are legitimate concerns about marijuana on the development of adolescent brains .,['CHILD_AND_TEEN_SAFETY']
It cites recent students that it says has shed light on the risks marijuana use poses to brain development in youth and the dangers of accessibility of recreational marijuana in the home .,['CHILD_AND_TEEN_SAFETY']
"In its own report arguing against marijuana legalization , the American Medical Association said : "" Heavy cannabis use in adolescence causes persistent impairments in neurocognitive performance and IQ , and use is associated with increased rates of anxiety , mood and psychotic thought disorders . ""","['CHILD_AND_TEEN_SAFETY', 'HEALTH/PSYCHOLOGICAL_EFFECTS']"
"It is reaffirmed by several studies that have linked marijuana use to criminal behavior , unemployment , lower incomes , greater welfare dependence , and lower life satisfaction .",['COMMUNITY/SOCIATAL_EFFECTS']
"It has made a negative impact on people ' s lives and i want people to know that marijuana is n't just somthing fun to do , but somthing dangerous and a life risk .",['HARM']
"The normalization , expanded use , and increased availability of marijuana in our communities are detrimental to our youth , to public health , and to the safety of our society .","['COMMUNITY/SOCIATAL_EFFECTS', 'CHILD_AND_TEEN_SAFETY', 'HEALTH/PSYCHOLOGICAL_EFFECTS']"
Increased marijuana use will mean millions more damaged young people .,['CHILD_AND_TEEN_SAFETY']
The increased use will increase the multitude of costs that come with marijuana use .,['NATIONAL_BUDGET']
"As cheap marijuana floods the market both in and outside of California , use of many different types of drugs will increase , as will marijuana use .",['COMMUNITY/SOCIATAL_EFFECTS']
"Thus , marijuana legalization will increase crime , drug use , and social dislocation across the state of California — the exact opposite of what pro-legalization advocates promise .",['COMMUNITY/SOCIATAL_EFFECTS']
"The Rand Corp . said it believes that marijuana use could double in California if legalization passes due to dramatically reduced prices and increased social acceptance – which , in turn , might increase various health risks , including increased heart rate , anxiety as well as incidents of drug-impaired driving .","['COMMUNITY/SOCIATAL_EFFECTS', 'HEALTH/PSYCHOLOGICAL_EFFECTS', 'DRUG_ABUSE']"
"California ’s voters , if they take a fair-minded look at the evidence and the practical problems of legalization , should reach the same conclusion : Marijuana is a dangerous substance that should remain illegal under state law .",['HARM']
"Furthermore , should California legalize marijuana , other entrepreneurs will inevitably attempt to enter the marketplace and game the system .",['ILLEGAL_TRADE']
"The California Chamber of Commerce has also expressed its opposition to the legalization of marijuana , citing that drug users will not be able to perform at work and that passage could create a new class of protected California citizens .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
One of the perhaps unexpected opponents of the initiative are some marijuana growers themselves who worry that legalization will hurt the quality of marijuana available to the public and hurt the nascent marijuana industry that already exists in California .,['OTHER']
"R. Gil Kerlikowske , ONDCP Director , Remarks to the California Police Chiefs Conference : Why Marijuana Legalization Would Compromise Public Health and Public Safety ( March 4 , 2010 ) , available at http :// www.ondcp.gov / news / speech10 / 030410 _ Chief.pdf .","['COMMUNITY/SOCIATAL_EFFECTS', 'HEALTH/PSYCHOLOGICAL_EFFECTS']"
"Gil Kerlikowske , Director of the White House Office of National Drug Control Policy ( ONDCP ) , recently stated , “ Marijuana legalization , for any purpose , is a non-starter in the Obama Administration . ”",['DRUG_POLICY']
"Gil Kerlikowske , current director of the US ONDCP , argues that legalizing drugs , then regulating and taxing their sale , would not be effective fiscally .",['NATIONAL_BUDGET']
"In a study for the Cato Institute , Jeffrey A. Miron , senior lecturer on economics at Harvard University and a senior fellow at Cato , and Katherine Waldock , professor of economics at New York University , estimate that legalizing drugs would save the government approximately $ 41.3 billion annually on expenditures related to the enforcement of prohibition .",['NATIONAL_BUDGET']
"Miron and Waldock also estimate that in 2008 , states across the country spent a total of $ 25.7-billion on drug prohibition ( net of seizures and fines ) .",['NATIONAL_BUDGET']
"For instance , in 1999 , close to 60,000 prisoners ( 3.3 % of the total incarcerated population ) convicted of violating marijuana laws were behind bars at a cost to taxpayers of some $ 1.2 billion per year .",['NATIONAL_BUDGET']
There is certainly a financial and human cost to keeping marijuana illegal and we can see it in our prisons .,['NATIONAL_BUDGET']
The social costs of the marijuana laws are vast .,['COMMUNITY/SOCIATAL_EFFECTS']
"Despite claims to the contrary , the social costs of legalizing marijuana will dwarf the meager taxes raised .","['COMMUNITY/SOCIATAL_EFFECTS', 'NATIONAL_BUDGET']"
"Also , that marijuana legalization would yield tax revenue of $ 2.4 billion annually if it were taxed like all other goods and $ 6.2 billion annually if it were taxed at rates comparable to those on alcohol and tobacco .",['NATIONAL_BUDGET']
"Within the first 10 months , the sales of marijuana have resulted in nearly $ 40 million in tax revenue .",['NATIONAL_BUDGET']
"According to press reports , supporters of the California initiative estimate that about $ 15-billion worth of marijuana is sold every year in the state – thus , an excise tax on the retail sales of marijuana would likely raise at least $ 1.3 billion a year in revenue .",['NATIONAL_BUDGET']
"Indeed , the potential financial gains to be realized through the legalization of drugs would be of particular interest to the state of California , which not only teems with thousands of ( illegal ) marijuana growers , but whose state government also faces a budget shortfall of nearly $ 20-billion for fiscal 2011 .",['NATIONAL_BUDGET']
"Approximately $ 8.7 billion of this revenue would result from the legalization of marijuana , $ 32.6 billion from legalization of cocaine and heroin , and $ 5.5 billion from legalization of all other drugs .",['NATIONAL_BUDGET']
"Miron and Waldock estimate that of that $ 41.3 billion in savings , about $ 8.7 billion would result from the legalization of marijuana alone and $ 32.6 billion from the legalization of other drugs , like cocaine and heroin .",['NATIONAL_BUDGET']
One study estimates that nationwide marijuana legalization would save governments $ 8.7 billion each year .,['NATIONAL_BUDGET']
"Moreover , according to RAND , legalization will cause marijuana prices to fall as much as 80 percent .",['OTHER']
Some believe that marijuana legalization could be a windfall in the form of new taxes applied to its distribution and sale .,['NATIONAL_BUDGET']
Legalization will mean that marijuana businesses can promote their products and package them in attractive ways to increase their market share .,"['COMMUNITY/SOCIATAL_EFFECTS', 'ILLEGAL_TRADE']"
Legalization is the first step in a broader initiative of treating cannabis use as a public health issue .,['HEALTH/PSYCHOLOGICAL_EFFECTS']
Legalization solves all these issues and puts organized crime out of the cannabis business .,['ILLEGAL_TRADE']
"On the other hand , current legalization efforts create a framework for a safety control system , which will work to get rid of the risk coming from smoking marijuana .",['DRUG_POLICY']
"Where your position stands is up to you but , to me ; legalizing marijuana is going to be beneficial to lots of people including the government , homeless , sick , and elderly people .","['NATIONAL_BUDGET', 'MEDICAL_MARIJUANA']"
The most frequently cited reasons for supporting the legalization of marijuana are its medicinal benefits ( 41 % ) and the belief that marijuana is no worse than other drugs ( 36 % ) – with many explicitly mentioning that they think it is no more dangerous than alcohol or cigarettes .,"['LEGAL_DRUGS', 'MEDICAL_MARIJUANA']"
There is reason even for people who oppose the use of marijuana to support its legalization : legal substances can be controlled in ways illegal ones can not .,['DRUG_POLICY']
"Although those who oppose the legalization of marijuana have every reason to believe that further , legitimate scientific research will confirm the dangers of its use , no side should try to thwart the sober judgment of the national legislature and sister states .",['HARM']
Theoretical arguments in favor of marijuana legalization usually overlook the practical matter of how the drug would be regulated and sold .,['DRUG_POLICY']
A common argument for legalization is that smoking marijuana is no more dangerous than drinking alcohol and that prohibiting the use of marijuana is therefore no more justified than the prohibition of alcohol .,['LEGAL_DRUGS']
Most people talk about legalizing pot as if it were no worse than alcohol -- as if no one has ever died as the result of using marijuana .,['LEGAL_DRUGS']
"I get concerns that the impact of legalized pot will be heaviest on poorer neighborhoods , and the fear of edibles , and of increasing drug use in general .",['COMMUNITY/SOCIATAL_EFFECTS']
Opponents of legal recreational pot argue that any savings that would arise from legalization would be offset by the cost of treating the additional users who become addicted to marijuana .,"['NATIONAL_BUDGET', 'ADDICTION']"
"Not only might the broader legalization of marijuana help more people with unmanageable pain find relief , it could even have a positive , mitigating effect against the opioid epidemic .","['COMMUNITY/SOCIATAL_EFFECTS', 'MEDICAL_MARIJUANA']"
"Yes , some who wish to see marijuana legalized use it for recreational purposes , but the other benefits can not be ignored .",['OTHER']
"There is no doubt that if marijuana were legalized , more people , including juveniles , would consume it .",['CHILD_AND_TEEN_SAFETY']
"So , any time marijuana use is made legal , the drugs accessibility to children will increase .",['CHILD_AND_TEEN_SAFETY']
Society may not do much better at enforcing this restriction on sale and marketing of marijuana to kids than we have with alcohol and tobacco .,"['CHILD_AND_TEEN_SAFETY', 'LEGAL_DRUGS']"
"While all too often children and teenagers are getting their hands on cigarettes and alcohol , it is stressed that authorities should think twice about legalizing this drug .","['CHILD_AND_TEEN_SAFETY', 'LEGAL_DRUGS']"
"When you run around telling kids not to do drugs , young kids , and then they read that we might legalize marijuana , I just think it ' s a mixed message .",['CHILD_AND_TEEN_SAFETY']
"It should be intuitively obvious to everyone that if you legalize marijuana for adults , more children will use marijuana because the message that it ' s dangerous will be blunted . """,['CHILD_AND_TEEN_SAFETY']
Opponents worry that legalizing medical marijuana might lead teens to believe that marijuana is safe for recreational use and increase availability of the drug .,"['CHILD_AND_TEEN_SAFETY', 'MEDICAL_MARIJUANA']"
"About one-in-five opponents of legalization ( 19 % ) say marijuana is illegal and needs to be policed , 11 % say it is a gateway to harder drugs and 8 % say it is especially harmful to young people .","['GATEWAY_DRUG', 'CHILD_AND_TEEN_SAFETY']"
"And while many supporters of legalization say that marijuana is less dangerous than other drugs , 30 % of opponents have the opposite view : They point to the dangers of marijuana , including the possibility of abuse and addiction .","['HARM', 'ADDICTION']"
"Indeed , many anti-legalization advocates say that use of marijuana often leads young people to experiment with harder drugs .","['CHILD_AND_TEEN_SAFETY', 'GATEWAY_DRUG']"
"summed up this mind-set during a speech at the Heritage Foundation last year when he said that "" relaxing [ marijuana ] laws clearly leads to more teenage drug use .","['CHILD_AND_TEEN_SAFETY', 'DRUG_POLICY']"
Marijuana use alone was associated with increased prescription abuse in the teenage girls examined through the study .,['CHILD_AND_TEEN_SAFETY']
"A group of teenage boys who abused weed , along with alcohol and cigarettes , were found to be 2-3 times more likely to abuse prescription drugs when they become young adults .","['CHILD_AND_TEEN_SAFETY', 'LEGAL_DRUGS']"
"A recent Yale University School of Medicine study revealed that teenage boys who abused alcohol , cigarettes , and marijuana were 2 to 3 times more likely to abuse prescription drugs during young adulthood .","['CHILD_AND_TEEN_SAFETY', 'LEGAL_DRUGS']"
Research shows that use of any of these drugs in adolescence — especially early adolescence — significantly heightens risks of substance use disorders in later life .,['CHILD_AND_TEEN_SAFETY']
“ Early substance use actually effects brain development and predisposes people for more significant vulnerabilities later in their life . ”,"['CHILD_AND_TEEN_SAFETY', 'HEALTH/PSYCHOLOGICAL_EFFECTS']"
Such use can also affect the brains of people already exhibiting substance abuse issues or mental illness .,['HEALTH/PSYCHOLOGICAL_EFFECTS']
[ ... ] The short-term effects are also harmful .,['HARM']
( – ) Patients report fewer of the positive effects and more negative side effects .,['MEDICAL_MARIJUANA']
Increased drug use leads to negative health effects .,['HEALTH/PSYCHOLOGICAL_EFFECTS']
Increased Chances of the Drug Falling into the Hands of Children .,['CHILD_AND_TEEN_SAFETY']
But it has also had the unwanted side effect that Dutch children are frequently exposed to the drug in public areas .,['CHILD_AND_TEEN_SAFETY']
"Furthermore , the Dutch Ministry of Health , Welfare and Sport has expressed “ concern about drug and alcohol use among young people and the social consequences , which range from poor school performance and truancy to serious impairment , including brain damage . ”","['COMMUNITY/SOCIATAL_EFFECTS', 'CHILD_AND_TEEN_SAFETY', 'HEALTH/PSYCHOLOGICAL_EFFECTS']"
"Even if critical workers — for example , police officers , airline pilots , and machine operators — used marijuana recreationally but remained sober on the job , the long-term cognitive deficiency that remained from regular drug use would sap productivity and place countless people in danger .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
"Unlike alcohol , marijuana has been shown to have a residual effect on cognitive ability that persists beyond the period of intoxication .","['HEALTH/PSYCHOLOGICAL_EFFECTS', 'LEGAL_DRUGS']"
"The effect on short-term memory is quite noticeable , but marijuana affects long-term memory as well .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
Another study finds that the hippocampus — the part of the brain responsible for long-term memory — is abnormally shaped in daily marijuana users .,['HEALTH/PSYCHOLOGICAL_EFFECTS']
"MRI scans conducted by researchers in Melbourne , Australia found that prolonged , heavy use of marijuana caused permanent , physical damage to the brain .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
"Medical researchers in Sweden , Holland ( see this study and this one ) and New Zealand ( see this research and this paper ) found that people who used marijuana for a long time were more likely to suffer medical psychosis or schizophrenia .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
A recent survey of all the medical literature concluded that regular use of cannabis actually doubled your risk of psychosis .,['HEALTH/PSYCHOLOGICAL_EFFECTS']
A 2013 review concluded : “ It is now known beyond doubt that cannabis acts as a component cause of psychosis . ”,['HEALTH/PSYCHOLOGICAL_EFFECTS']
"In fact , high-dose THC – one of the most widely studied molecules in the marijuana plant – has been found to cause acute / transient psychosis .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
The levels of THC ( marijuana ' s psychoactive ingredient ) have never been higher .,['HARM']
"The average THC level in today ’s marijuana is approximately three times that of 1990 , with some experts saying it ’s up to six times more potent .",['HARM']
