sentence,labels
"Sex equality arguments observe that abortion restrictions deprive women of control over the timing of motherhood and so predictably exacerbate the inequalities in educational , economic , and political life engen­dered by childbearing and childrearing .","[""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"When abortion restrictions reflect or enforce traditional sex-role stereotypes , equality arguments insist that such restrictions are suspect and may violate the U.S. Constitution .","[""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"If so , might abortion restrictions reflect traditional sex-role stereotypes about sex , caregiving , or decision-making around motherhood ?","[""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"No abortions would be permitted for any reason , including rape or incest .",['RAPE']
"Its 2003 nationwide survey of women revealed that a majority of women ( 51 % ) believe abortion should either never be permitted or permitted only for rape , incest , or life endangerment .","['HEALTH_EFFECTS_OF_PREGNANCY/CHILDBIRTH', 'RAPE', ""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
That means a majority of women believe abortion should be permitted only in extremely rare circumstances .,"[""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"Abortion is permitted in only three cases : a severe fetal anomaly , a threat to the mother ’s health and life , or a pregnancy from rape or sexual abuse .","['FETAL_DEFECTS/DISABILITIES', 'RAPE', 'HEALTH_EFFECTS_OF_PREGNANCY/CHILDBIRTH']"
"We may allow abortion without restriction in the first and in the third trimester , and still not permit infanticide .",['FETAL/NEWBORN_RIGHTS']
"If the thing that justifies abortion in the first trimester is women ’s bodily autonomy , then abortion continues to be justified in the second and third trimester because the fetus still resides inside her body .","['FETAL/NEWBORN_RIGHTS', ""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"There is no way to consistently argue that a ) first trimester abortions should be legal because “ it ’s a woman ’s right to decide what to do with her body , ” AND b ) second-trimester abortions should not be legal .","[""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"In terms of which trimester Americans are the most accepting of abortions taking place , about 41 % agree first-trimester abortions should be permitted .",['OTHER']
The vast majority of women - 88 % - who have an abortion do so in their first trimester .,['OTHER']
92 % of abortions in America are purely elective -- done on healthy women to end the lives of healthy children .,['FETAL/NEWBORN_RIGHTS']
"Rather , it is quite compelling simply to say that the vast majority of abortions are "" purely elective "" abortions , done on healthy women with healthy babies .",['FETAL/NEWBORN_RIGHTS']
Some people believe that prohibiting abortion makes embryos and fetuses more valuable than grown women .,"['FETAL/NEWBORN_RIGHTS', ""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term .,"['FETAL_DEFECTS/DISABILITIES', ""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"For healthy pregnancies , this makes abortion a humane option for whatever the reasons the mother may choose to undergo an abortion .","[""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"For pregnancies with complications , either threatening the mother ’s life or complications that will guarantee the child ’s suffering , abortion is a difficult choice , but a painless and humane solution .",['HEALTH_EFFECTS_OF_PREGNANCY/CHILDBIRTH']
I think it is extremely difficult to explain to anyone how it would be the right thing to do to allow a mother and her unborn child to die when the mother could be saved by an abortion .,['HEALTH_EFFECTS_OF_PREGNANCY/CHILDBIRTH']
Abortion is unjust because the right to not be killed is more fundamental than the right to not be pregnant .,"['FETAL/NEWBORN_RIGHTS', ""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
Even then abortion is unjustifiable .,['OTHER']
So abortion is just as irresponsible as it is in the previous case .,['OTHER']
"Putting it bluntly , abortion is murder .",['FETAL/NEWBORN_RIGHTS']
ABORTION IS BASICALLY MURDER !,['FETAL/NEWBORN_RIGHTS']
"Therefore , abortion is murder of a person .",['FETAL/NEWBORN_RIGHTS']
Abortion is not murder because it is performed before a fetus has developed into a human person .,['FETAL/NEWBORN_RIGHTS']
Abortion should not be considered murder if the fetus is not self-sustaining and requires the mother ’s body and physical resources to survive .,['FETAL/NEWBORN_RIGHTS']
"If people want to argue that abortion is murder , they should have the guts to deal with it as murder , and that means holding women who procure abortions just as legally responsible as women who arrange and pay for the murder of their "" post-born "" children .",['FETAL/NEWBORN_RIGHTS']
"Even if you do n't believe abortion is murder , it still demeans the value of human life , since women can so callously stomp out a living being simply because they ' re inconvenienced .",['FETAL/NEWBORN_RIGHTS']
"Therefore , abortion is killing a life which is human by nature .",['FETAL/NEWBORN_RIGHTS']
""" Abortion is the killing of a human being , which defies the word of God .","['FETAL/NEWBORN_RIGHTS', 'MORAL/ETHICAL_VALUES']"
"In light of what is explicitly stated about children , and what is explicitly stated about murder , it is fair to conclude that God hates abortion .","['FETAL/NEWBORN_RIGHTS', 'MORAL/ETHICAL_VALUES']"
God hates abortion even more than He hates fags .,['MORAL/ETHICAL_VALUES']
"When one have an abortion , they are n’t thinking “ Oh my god , I hate this baby inside of me .",['OTHER']
I ’m going to kill them just because I do n’t like them ” Abortions are n’t done on the whim .,['FETAL/NEWBORN_RIGHTS']
You do n’t have to like abortion to respect the right of choice .,"[""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
Abortion is n't the only option .,['OTHER']
There are times when abortion may appear as the only option for the betterment .,['OTHER']
There are alternatives to abortion .,['OTHER']
Any form of anti-abortion law would then simply be impossible to completely enforce .,['ILLEGAL_ABORTIONS']
Completely enforcing anti-abortion laws is impossible .,['ILLEGAL_ABORTIONS']
"Anti-abortion laws create new families consisting of a child and her child , living at the lowest levels of society .",['CONSEQUENCES_OF_CHILDBIRTH']
"If anti-abortion laws are implemented , they may simply increase the number of poorly done abortions , and likewise increase the number of deaths .",['ILLEGAL_ABORTIONS']
"Reducing access to abortion does n’t quell the demand for abortion , and making abortion illegal simply makes abortion less safe .",['ILLEGAL_ABORTIONS']
"By making abortion illegal , you ' re introducing a slippery slope that gives government control over a woman ' s body .","[""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"If you make an abortion illegal , a woman might seek it anyway and do it unsafely .",['ILLEGAL_ABORTIONS']
They say that pregnant women will resort to unsafe illegal abortions if there is no legal option .,['ILLEGAL_ABORTIONS']
"They say abortion inflicts suffering on the unborn child , and that it is unfair to allow abortion when couples who can not biologically conceive are waiting to adopt .","['FETAL/NEWBORN_RIGHTS', 'ADOPTION']"
"Abortion directly undermines that if , as Trent and millions of others propose , it involves killing an innocent child .",['FETAL/NEWBORN_RIGHTS']
The fact is that directly attacking and killing the baby is a direct abortion even if the intentions are good .,['FETAL/NEWBORN_RIGHTS']
"If a procedure directly attacks the baby , it ' s a direct abortion .",['FETAL/NEWBORN_RIGHTS']
Abortion is a safe medical procedure .,['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
Modern abortion procedures are safe and do not cause lasting health issues such as cancer and infertility .,['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
Abortion is not as safe as natural pregnancy .,['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
Abortion need not promise to be rare to be secured as safe and legal .,['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
"The Truth : The fact is , although abortion is said to be legal by our corrupt judicial system , it is not safe and easy and certainly not without very serious harmful and long lasting physical , emotional , psychological , as well as spiritual consequences .","['PSYCHOLOGICAL_EFFECTS_OF_ABORTION', 'SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']"
I think it is perfectly possible to consider abortion immoral and still maintain it should be legal .,['MORAL/ETHICAL_VALUES']
"But if abortion involves the intentional murder of a human person , then we ca n't just say , "" I think it ' s immoral but should also be legal .",['FETAL/NEWBORN_RIGHTS']
Abortion is morally wrong .,['MORAL/ETHICAL_VALUES']
Abortion is wrong because it is taking a human life .,['FETAL/NEWBORN_RIGHTS']
"If the loss of our valuable future is what makes killing you and me wrong , then abortion is equally wrong , because it deprives the fetus of its “ future like ours ” .",['FETAL/NEWBORN_RIGHTS']
"But since a fetus does have such a future , the "" overwhelming majority "" of deliberate abortions are placed in the "" same moral category "" as killing an innocent adult human being .",['FETAL/NEWBORN_RIGHTS']
"They argue that a human fetus is a human being with a right to live , so abortion is similar to murder .",['FETAL/NEWBORN_RIGHTS']
They argue that abortion is not permissible from the point at which individual human identity is realized .,['FETAL/NEWBORN_RIGHTS']
"Opponents , identifying themselves as pro-life , contend that personhood begins at conception , and therefore abortion is the immoral killing of an innocent human being .",['FETAL/NEWBORN_RIGHTS']
"Pro-life supporters argue that abortion is morally wrong on the basis that a fetus is an innocent human person or because a fetus is a potential life that will , in most cases , develop into a fully functional human being .",['FETAL/NEWBORN_RIGHTS']
"The “ pro-life ” concerns of abortion foes are only for fetal lives , not the lives of women or unwanted babies .",['FETAL/NEWBORN_RIGHTS']
Pro-life advocates contend that elective abortion unjustly takes the life of a defenseless human being .,['FETAL/NEWBORN_RIGHTS']
"In the United States , pro-life groups favor greater legal restrictions on abortion , or even the complete prohibition of it .",['OTHER']
"Half of Americans prefer the term pro-life , and most of us have moral qualms about abortion .",['MORAL/ETHICAL_VALUES']
Americans are more accepting of abortions that occur early in pregnancy when the fetus is not as developed and is not “ viable ” ( able to survive on its own outside of the woman ’s body ) .,['FETAL/NEWBORN_RIGHTS']
Most Americans reject the absolutist position that it is always wrong to terminate a pregnancy and believe that abortion may be the morally right choice under certain circumstances .,['MORAL/ETHICAL_VALUES']
"This does n't make abortion right or wrong , but the abortion industry ' s consistent efforts to downplay the physical pain of abortion hints at a broader agenda .","['ABORTION_INDUSTRY', 'SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']"
Many abortion supporters have a huge financial stake in keeping abortion legal .,['ABORTION_INDUSTRY']
"Only a small percentage of physicians perform abortions , yet most support legal abortion in the interest of good medical care .",['HEALTH_EFFECTS_OF_PREGNANCY/CHILDBIRTH']
"Among this group , 46 percent said abortion should be legal in all or most cases .",['OTHER']
A November 2005 poll in Mexico found that 73.4 % think abortion should not be legalized while 11.2 % think it should .,['OTHER']
A study published in the British Medical Journal shows that Mexican states with “ less permissive ” abortion laws experienced lower maternal mortality rates from abortion complications .,['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
A Stanford University study shows lower rates of abortion complications for American states with those same types of laws .,['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
"Because of the risks of illegal abortions , the difference will be greatly felt in the mortality rate .",['ILLEGAL_ABORTIONS']
"They also add that if abortion was illegal , the procedure would be performed , regardless – the only difference being that it would be performed under dangerous , substandard conditions .",['ILLEGAL_ABORTIONS']
"If abortion were illegal , well-intentioned but unskilled practitioners would perforate uteruses , misjudge the length of gestation , do incomplete abortions , and otherwise botch the procedure .",['ILLEGAL_ABORTIONS']
"Access to legal , professionally-performed abortions reduces maternal injury and death caused by unsafe , illegal abortions .",['ILLEGAL_ABORTIONS']
"Legal abortion helps parents limit their families to the number of children they want and can afford , both financially and emotionally .",['CONSEQUENCES_OF_CHILDBIRTH']
Many women who choose abortion do n't have the financial resources to support a child .,['CONSEQUENCES_OF_CHILDBIRTH']
"Also , since many women seeking late-term abortions are economically disadvantaged , their children are likely to require welfare assistance .",['CONSEQUENCES_OF_CHILDBIRTH']
"On both sides , I often encounter ignorance as to why women might choose to seek late term abortions in the first place ( although this is more prevalent among pro-lifers ) , and about the relevant physiological details in terms of fetal development near viability .",['FETAL/NEWBORN_RIGHTS']
The number of women seeking late term-abortions is so so small and the anti-choicers know that but they use late-term abortions as wedge a scare tactic to make people afraid that once people are afraid they are easily controlled and stop thinking .,['OTHER']
"people that refuse to be educated … on why women need access to late-term abortions , also further complicated by the fact that there are only a handful of late-term abortion providers that are qualified to do late-term abortions in the U.S .",['OTHER']
"When coupled with laws aimed at eliminating early access to abortion , current late term abortion bans seem more about further preventing women from accessing abortion than a good-faith attempt at balancing women ’s reproductive rights with bioethical concerns .","[""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"Despite their deep unpopularity that spans the abortion divide , and even despite a secular argument that could be used to support them , late term abortion bans are currently unfeasible , and likely a very bad idea .",['MORAL/ETHICAL_VALUES']
"Unfortunately , and ironically , anti-abortion legislation in multiple states aimed at reducing access by closing abortion clinics with unnecessary restrictions or requiring extra hurdles for women to obtain abortions ( like mandatory delay , ultrasounds , and / or counseling ) , has a counterproductive effect .","[""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
Another irony is that most anti-abortion legislators vote against funding the health and social welfare programs that make it possible for women to take care of their babies rather than abort for financial reasons .,['CONSEQUENCES_OF_CHILDBIRTH']
"Since it is less expensive to subsidize an abortion than childbirth and subsequent welfare , the anti-abortion financial argument is invalid as well as inhumane .",['CONSEQUENCES_OF_CHILDBIRTH']
To deny poor women abortion services while paying for childbirth is unfair .,['FUNDING_OF_ABORTION']
Abortion reduces welfare costs to taxpayers .,['CONSEQUENCES_OF_CHILDBIRTH']
Cutting off Medicaid abortion actually increased poverty by trapping mothers of young children in the poverty / welfare cycle .,"['CONSEQUENCES_OF_CHILDBIRTH', 'FUNDING_OF_ABORTION']"
"Increase contraception access , family leave , and improve pre - and post - natal healthcare , and we ' d cut abortions by 50 % or more .","['HEALTH_EFFECTS_OF_PREGNANCY/CHILDBIRTH', 'CONSEQUENCES_OF_CHILDBIRTH', 'RESPONSIBILITY']"
And abortion greatly increased the incidence of miscarriage in future pregnancies .,['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
"An abortion can result in medical complications later in life ; the risk of ectopic pregnancies doubles , and the chance of a miscarriage and pelvic inflammatory disease also increases .",['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
"< br /> - Because an abortion is a surgery there is a risk of damaging the nearby organs ( i.e. Ovaries ) , but due to the nature of this part of the body there can be serious consequences to the reproductive future of women .",['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
"While some surgeries carry a risk of harm , abortion is intended to harm .",['FETAL/NEWBORN_RIGHTS']
""" The American Medical Association and the American College of Obstetricians and Gynecologists stated "" Abortion is one of the safest medical procedures performed in the United States .",['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
Unsafe abortions occur when they are performed by individuals without adequate medical skills or in an unhygienic environment .,['ILLEGAL_ABORTIONS']
"According to a global study collaboratively conducted by the World Health Organization and the Guttmacher Institute , most unsafe abortions occur where abortion is illegal .",['ILLEGAL_ABORTIONS']
"When abortion occurs because of societal pressures , women sometimes have to resort to unsafe practices because the legalized healthcare route is not an option .","['ILLEGAL_ABORTIONS', ""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"So instead of getting an abortion in a controlled environment where there is one last chance for counseling on options , women may subject themselves to a potentially dangerous situation .",['ILLEGAL_ABORTIONS']
Women should not be able to use abortion as a form of contraception .,['RESPONSIBILITY']
Abortion should not be used as another form of contraception .,['RESPONSIBILITY']
This suggests that many women are using abortion as a contraceptive method .,['RESPONSIBILITY']
"The Truth : Abortion certainly is used after conception so technically it is not contraceptive , but that is totally beside the point .",['RESPONSIBILITY']
"It is not absolutely impossible to imagine a world in which contraception , and post-conception medication , are so widely available that abortion indeed is safe , legal , and rare .","['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION', 'RESPONSIBILITY']"
"In a society where contraceptives are so readily available , there should be no unwanted pregnancies and therefore no need for abortion .",['RESPONSIBILITY']
Making contraceptives and abortion available only encourages them to have sex .,['MORAL/ETHICAL_VALUES']
Women do n’t bother with contraception because abortion is available .,['RESPONSIBILITY']
That some women ( and men ) are careless about birth control is irrelevant to the legality of abortion .,['RESPONSIBILITY']
"Only 8 % of women who have abortions do not use any form of birth control , and that is due more to individual carelessness than to the availability of abortion .",['RESPONSIBILITY']
"If abortions are unconditionally accepted by society and easily obtainable , people will use them as a regular form of birth control .","['MORAL/ETHICAL_VALUES', 'RESPONSIBILITY']"
"Other birth control is readily available ; thus , abortion should n't be a form of birth control .",['RESPONSIBILITY']
People use abortion as birth control .,['RESPONSIBILITY']
Modern medicine makes abortion is less of a risk .,['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
"Advancements in the medical field have dramatically reduced complications from abortion , studies show that it is actually safer than carrying a pregnancy to full term .","['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION', 'HEALTH_EFFECTS_OF_PREGNANCY/CHILDBIRTH']"
"However , the later in pregnancy an abortion is performed the more risky it becomes .",['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
- Having an abortion done always carries the risk of not being able to become pregnant ever again in life .,['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
"I , personally , would only have an abortion if my life depended on it .",['HEALTH_EFFECTS_OF_PREGNANCY/CHILDBIRTH']
"Abortion was a practical consideration at the time , but my conscience said no - even though it would mean sacrificing , at least for some time , my professional aspirations .","['CONSEQUENCES_OF_CHILDBIRTH', ""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"Maybe if abortion was n't available , people would n't be so careless in the first place .",['RESPONSIBILITY']
"In the developed world where international travel is affordable , abortion restrictions make even less sense .",['ILLEGAL_ABORTIONS']
"As a result , countries that have restrictive abortive laws have more women that seek unsafe abortions .",['ILLEGAL_ABORTIONS']
"Most women affected by these laws still have abortions , but many seek them later due to their difficulty accessing services .",['FUNDING_OF_ABORTION']
"Regardless of what laws are in place , there will always be young women out there who want to have an abortion .","['ILLEGAL_ABORTIONS', ""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"Without legalized abortion , a lot more women will become parents whether or not they want to be and whether or not they ' re ready to be .",['CONSEQUENCES_OF_CHILDBIRTH']
"In reality , the vast majority of women who have abortions either already are or go on to be devoted moms .",['CONSEQUENCES_OF_CHILDBIRTH']
Abortion may lead to future medical problems for the mother .,['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
The morality of abortion is not directly tied to the risks it poses to the mother .,"['MORAL/ETHICAL_VALUES', 'SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']"
Abortion is not a question of morality it is a question of providing options to prevent and mitigate risks in certain circumstances .,['MORAL/ETHICAL_VALUES']
"Poverty , rape , disability or “ unwantedness ” do not morally justify abortion .","['MORAL/ETHICAL_VALUES', 'RAPE']"
Abortion is justified as a means of population control .,['CONSEQUENCES_OF_CHILDBIRTH']
""" Abortion promotes a culture in which human life is disposable .","['MORAL/ETHICAL_VALUES', 'FETAL/NEWBORN_RIGHTS']"
The legalization of abortion sends a message that human life has little value .,"['MORAL/ETHICAL_VALUES', 'FETAL/NEWBORN_RIGHTS']"
Legalized abortion is a sign of the moral decay that is destroying America .,['MORAL/ETHICAL_VALUES']
"Many times I think Sen . Ted Kennedy said it best "" While the deep concern of a woman bearing an unwanted child merits consideration and sympathy , it is my personal feeling that the legalization of abortion on demand is not in accordance with the value which our civilization places on human life .",['FETAL/NEWBORN_RIGHTS']
""" Likewise , I am saying , if you insist that abortion is the murder of children by their own mothers , and you want to criminalize abortion , you must treat women who procure abortions as murderers .",['FETAL/NEWBORN_RIGHTS']
""" A law criminalizing abortion as murder that did not hold the mother responsible in some way for procuring and abortion would tell a mother that although abortion is murder , she is free to murder her own children and pay no penalty for it .",['FETAL/NEWBORN_RIGHTS']
Abortion is an act of violence against an innocent human being .,['FETAL/NEWBORN_RIGHTS']
"After all , abortion implies denying someone a well-deserved life .",['FETAL/NEWBORN_RIGHTS']
"Like any act of homicide , abortion steals from its victims their future life .",['FETAL/NEWBORN_RIGHTS']
"Abortion punishes the unborn child who committed no crime ; instead , it is the perpetrator who should be punished .",['FETAL/NEWBORN_RIGHTS']
People who have done an abortion should be sentenced to jail for life .,['OTHER']
"Also , the doctors who perform the abortion , should be put in prison for life .",['OTHER']
"Those who perform , procure , or receive abortions should be executed .",['OTHER']
Those who object to abortion are exempted from participating in them even when it might normally be part of their job duties .,['OTHER']
"Yet still , I think women * should * be held legally responsible for procuring an abortion , to the extent they understand what they are doing .","[""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"It is hypocritical , in my opinion , for pro-life advocates to claim that abortion is murder and yet insist that women should not be held legally responsible for procuring abortions .",['FETAL/NEWBORN_RIGHTS']
Pro-abortionists argue that under a “ human life amendment ” women would be prosecuted for murder .,['FETAL/NEWBORN_RIGHTS']
"Under a “ human life amendment , ” we would not be returning to the same legal situation , we would have a whole new body of law , with women and abortion practitioners ( doctors or other ) facing murder charges .",['FETAL/NEWBORN_RIGHTS']
A “ states ’ rights ” amendment would return women to the days when medically safe abortions were reserved for those who lived in pro-choice states or who could pay for travel or high-priced illegal practitioners .,['ILLEGAL_ABORTIONS']
"Constitutional rights are for all Americans , not just those in states where legislators refuse to allow abortion .",['FETAL/NEWBORN_RIGHTS']
Where do pro-abortionists get the idea that abortion is a constitutional right ?,"[""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
“ Abortion ” is not mentioned in the Constitution .,['OTHER']
""" Allowing abortion conflicts with the unalienable right to life recognized by the Founding Fathers of the United States .",['FETAL/NEWBORN_RIGHTS']
""" Abortion takes away from the unborn the unalienable right to life that the Founding Fathers intended for all human beings .",['FETAL/NEWBORN_RIGHTS']
Abortion eliminates legal rights of the unborn child .,['FETAL/NEWBORN_RIGHTS']
Abortion is simply taking out a fetus one can not take care of or is not ready for .,['CONSEQUENCES_OF_CHILDBIRTH']
Abortion is is not just taking out a “ fetus ” it is simply ending a human a life .,['FETAL/NEWBORN_RIGHTS']
"Abortion is the ending of a fetus , a potential human being , yes , okay .",['FETAL/NEWBORN_RIGHTS']
"Embryos and fetuses are not independent , self-determining beings , and abortion is the termination of a pregnancy , not a baby .",['FETAL/NEWBORN_RIGHTS']
An accurate understanding of prenatal development makes it impossible to argue that abortion is the mere removal of undifferentiated cell tissue or that the developing embryo is simply a part of the mother ' s body .,['FETAL/NEWBORN_RIGHTS']
Pro-abortion people insist that the fetus is nothing but a worthless blob of tissue .,['FETAL/NEWBORN_RIGHTS']
"If the fetus is n’t a person , I think abortion is obviously justified , do n’t you ?",['FETAL/NEWBORN_RIGHTS']
It seems like you ’re justifying abortion by claiming that a fetus does n’t count as a human person until twenty weeks .,['FETAL/NEWBORN_RIGHTS']
"The bodily rights claim is n’t sufficient by itself to justify abortion because as soon as you think the fetus is human , you do n’t think abortion is justified .","['FETAL/NEWBORN_RIGHTS', ""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"The right to abortion is based on the right of privacy , not equal rights .","[""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"While admitting that abortion is not in the text of the Constitution , they nevertheless ruled that a right to abortion was part of an implied "" right to privacy "" that the Court had fashioned in previous rulings regarding contraception regulations .","[""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"The heart of their argument was that abortion , a common and very safe medical procedure , was being singled out for different treatment than much riskier out-patient procedures and in a way that made no medical sense .",['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
Abortion is against doctors ' Hippocratic Oath .,['MORAL/ETHICAL_VALUES']
