sentence,labels
"In practice , there is no way to segregate nuclear technologies employed for “ peaceful ” purposes from technologies that may be employed in weapons — the former may be , and have been , transformed into the latter . """,['WEAPONS']
"Hence , an important argument underpinning the anti – nuclear power movement has always been its insistence that an umbilical cord links military and civilian nuclear programs , which , as a consequence , drives a new and even more terrifying arms race .",['WEAPONS']
"As the nuclear power issue has been widely debated , it has become obvious to many people that the expertise of pro-nuclear scientists and engineers is tied to vested interests .",['PUBLIC_DEBATE']
"There are four states with undeclared stockpiles of nuclear weapons developed from civil programs , and it is no coincidence that they are in some of the most volatile , militarized — and hence dangerous — areas of the world : Israel , Pakistan , India , and North Korea .",['WEAPONS']
A major reason that government favours this form seems to be due to vast amounts of money and effort being put into lobbying by the power companies .,['ENERGY_POLICY']
"The social structures which favour and in turn are favoured by nuclear power include capitalism , patriarchy , the intellectual division of labour and the state .",['ENERGY_POLICY']
The Indian government used products from its ' civilian ' nuclear research programme to produce a nuclear explosion in 1974 .,"['ENERGY_POLICY', 'WEAPONS']"
As we will see there is a close relationship between the weapons and the power in every sense of the word .,['WEAPONS']
nuclear power has to be kept in a very special place because if it is not in the place it could explode and kill alot of people and destroy our world .,['ACCIDENTS/SECURITY']
If the world adopts nuclear power as a major source of energy there will be uranium wars just as there are now oil wars .,['ENERGY_POLICY']
"April 16th , 2006 : "" Nuclear fuel can be diverted to make nuclear weapons .",['WEAPONS']
"In a way , large scale ' development ' projects , such as nuclear power , can be seen as a test of the state ' s commitment to key corporations and to securing the conditions necessary for capitalist profitability .",['ENERGY_POLICY']
"Moreover , plutonium , a necessary component of nuclear weapons and the most life-destroying element known to humanity , is not an element that occurs naturally on earth .",['WEAPONS']
"There are many other reasons to be against nuclear power : the cost overruns , the fact that no country has a fully developed or workable plan — or in most cases any plan — for what to do with the nuclear waste that is piling up alongside the nuclear reactors .","['WASTE', 'COSTS']"
The majority of the public consider nuclear power plants to be unsafe .,['ACCIDENTS/SECURITY']
A suitable combination of interventions then forms the basis for a strategy against uranium mining .,['OTHER']
"January 24 , 2008 : "" Sensitive nuclear technology such as uranium enrichment and spent nuclear fuel reprocessing are ostensibly employed to create fuel in power reactors , they may be easily adjusted or redirected to produce weapons-grade fissile material .",['WEAPONS']
"Others such as Denmark , Ireland , Portugal and Austria will remain nuclear free .",['OTHER']
Reactors and Bombs : Reactors and the nuclear fuel chain facilities they are connected to set the stage for atomic weapons production .,['WEAPONS']
"In effect , an anti-nuclear strategy must involve both actions aimed at stopping nuclear power and activities which challenge existing structures and help construct viable alternatives .",['ENERGY_POLICY']
We point out that the false conflation of nuclear energy for the generation of electricity with nuclear weapons has no more validity than the conflation of fire for home heating and cooking with incendiary bombs that destroy entire cities .,['WEAPONS']
The plutonium obtained from reprocessing is not suitable for bombs but is a valuable fuel which can be used with depleted uranium as mixed oxide fuel ( MOX ) .,['WEAPONS']
"And how can the world monitor the enrichment of uranium to the level needed for power plants , but insufficient for nuclear weapons ?",['WEAPONS']
"Not surprisingly , this is the same balance which the existence of nuclear weapons undermines .",['WEAPONS']
The two industries have been linked since the very beginning and a nuclear weapons free world requires a non-nuclear energy policy .,['WEAPONS']
It may be that they fear that adequately covering nuclear power would irritate their donors .,['OTHER']
"In sum , there is a case for government intervention to improve the economic competitiveness of nuclear plants and avoid early closures .",['ENERGY_POLICY']
"Moreover , with the clear connection to nuclear weapons production , alongside many unresolved questions surrounding long-term waste management and the decommissioning of old plants , there are more than enough compelling arguments against nuclear power — in addition to the potential for terrifying accidents — to justify shutting them down now .","['WEAPONS', 'WASTE', 'ACCIDENTS/SECURITY']"
We should take a page from the playbook of the German antinuclear movement .,['PUBLIC_DEBATE']
"Simply because fire had greater potential for good than harm does not mean that the same is true for nuclear power . """,['OTHER']
"They have to varying degrees either changed their public stance , or conceded that since nuclear power is virtually emission-free regarding CO2 , it merits at least grudging support as part of the response to increasing atmospheric CO2 levels and depletion of fossil fuels .","['ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS']"
Keep in mind : the U-233 is about as nasty stuff as plutonium is .,['OTHER']
I understand that this would make it possible to have a pure quantity of Uranium 233 which is fissile and could be formed into an atomic bomb .,['WEAPONS']
More protests followed wherever locations for radioactive waste processing and storage were considered .,"['WASTE', 'PUBLIC_DEBATE']"
"Nuclear power is the ultimate way of centralising power , putting it in the hands of experts , multi-national corporations and Big Government .",['ENERGY_POLICY']
By adopting benign forms of power supply the UK could help to promote the people-friendly way forward .,['ACCIDENTS/SECURITY']
Mass protests in Germany against nuclear power have already forced Prime Minister Angela Merkel ’s center-right government to announce a three-month moratorium on plans to extend the life of Germany ’s seventeen nuclear power plants .,['PUBLIC_DEBATE']
Nuclear power plants are prime target for terrorism activities .,['ACCIDENTS/SECURITY']
There are a long list of secondary sources we can use such as nuclear stockpiles and dismantled war heads .,['OTHER']
We rejected nuclear for several reasons .,['OTHER']
"April 18th , 2006 - "" Moore turns to the question of whether nuclear power can be diverted to make nuclear weapons , and to his credit calls it ' the most serious issue associated with nuclear energy . '",['WEAPONS']
"Prospects for nuclear energy as an option are limited , the report found , by four unresolved problems : high relative costs ; perceived adverse safety , environmental , and health effects ; potential security risks stemming from proliferation ; and unresolved challenges in long-term management of nuclear wastes . ”","['WASTE', 'COSTS', 'ACCIDENTS/SECURITY']"
"Vast amounts of fossil fuels must be burned to mine , transport and enrich uranium and to build the nuclear plant .",['RELIABILITY']
"The production of 1,000 tons of uranium fuel generates approximately 100,000 tons of radioactive tailings and nearly one million gallons of liquid waste containing heavy metals and arsenic in addition to radioactivity .",['WASTE']
"In this age of uncertainty , dirty bombs and attacks on power stations are a terrifying threat .","['WEAPONS', 'ACCIDENTS/SECURITY']"
They cost less and do n’t generate waste that remains dangerously radioactive for thousands of years .,['WASTE']
"In fact , it produces both low and high-level radioactive waste that remains dangerous for several hundred thousand years .",['WASTE']
"The risk of terrible nuclear accidents like Chernobyl , Three Mile Island and Windscale ( Sellafield ) will plague a new generation of power stations as it did the first .",['ACCIDENTS/SECURITY']
"All reactors release radiation into the air , water and soil .",['ENVIRONMENTAL_IMPACT']
thirdly where would we put all the waste from the nuclear power .,['WASTE']
Nuclear power plants create a lot of low-level radioactive waste as transmitted parts and supplies .,['WASTE']
"Therefore , expensive solutions are needed to protect mother earth from the devastating effects of nuclear energy .",['ENVIRONMENTAL_IMPACT']
"[ Response :] Within 40 years , used fuel has less than one-thousandth of the radioactivity it had when it was removed from the reactor .",['WASTE']
"Whenever nuclear waste is buried , risks are created for future generations , as there is no 100 % reliable way to store radioactive materials .",['WASTE']
"However , its environmental and social impact is huge .",['ENVIRONMENTAL_IMPACT']
"Second , spent Uranium has to be disposed of and dealt with at one point even if it is reprocessed and the radioactivity of it remains .",['WASTE']
Nuclear waste radioactivity dissipates over time .,['WASTE']
This includes 20-30 tons of high-level radioactive waste from each of the current 103 nuclear reactors in the U.S. each year .,['WASTE']
"This waste is actually a cocktail of chemicals such as Cesium-137 , Iodine-129 , Strontium-90 , and Plutonium-239 , each radioactive and cancer-causing .","['WASTE', 'HEALTH_EFFECTS']"
"On top of that , the power released from splitting atoms can also be used to make nuclear bombs , and nuclear power produces radioactive waste which needs to be stored somewhere , not that many people want it stored near them .","['WEAPONS', 'WASTE']"
"Although the spent fuel is highly radioactive at the moment it is brought out of the reactor , this same characteristic means that it rapidly loses radioactivity .",['WASTE']
"Additionally , a nuclear power plant can not operate without routinely releasing radioactivity into the air and water through the normal operation of nuclear reactors .",['ENVIRONMENTAL_IMPACT']
There is no safe level of radiation exposure .,['HEALTH_EFFECTS']
Its harmful effects on humans and ecology can still be seen today .,['HEALTH_EFFECTS']
The legacy of environmental contamination and health costs for miners and mines has been catastrophic .,"['ENVIRONMENTAL_IMPACT', 'HEALTH_EFFECTS']"
"Burying nuclear waste is an environmental and health risk "" The Case Against Nuclear Power "" .","['WASTE', 'HEALTH_EFFECTS']"
"High Cost : At present , the nuclear business let waste cool for a considerable length of time before blending it with glass and putting away it in enormous cooled , solid structures .","['WASTE', 'COSTS']"
"“ Low-level ” radioactive waste , a misnomer , is dumped into landfills or incinerated , contaminating our water and air .","['ENVIRONMENTAL_IMPACT', 'WASTE']"
"Over time , used nuclear fuel decays to safe radioactive levels , however this takes a countless number of years .",['WASTE']
"Increasing the amount of waste shipped , particularly in less secure countries , is seen as a significant increase in risk to nuclear terrorism .","['WASTE', 'ACCIDENTS/SECURITY']"
Radioactive clouds deposited radiation thousands of kilometers away .,['ENVIRONMENTAL_IMPACT']
"What ' s worse , the nuclear industry wants to reprocess waste to obtain more energy from increasingly scarce uranium .",['WASTE']
"But while geothermal , solar and wind are safe , nuclear is not .","['RENEWABLES', 'ACCIDENTS/SECURITY']"
The potential for such devastation lies in the radioactive fuel that fires the nuclear power plant .,['ACCIDENTS/SECURITY']
"The result is not just energy , but also radiation that is the major safety concern of all present nuclear energy processes .",['ACCIDENTS/SECURITY']
"Routine Radioactive Releases : All reactors release radiation into the air , water and soil and can not be described as “ emissions-free . ”",['ENVIRONMENTAL_IMPACT']
"We are deeply disturbed that the lives of people in Japan are being endangered by nuclear radiation in the air , in the water and in the food as a result of the breakdown at the Fukushima nuclear plant .","['ACCIDENTS/SECURITY', 'HEALTH_EFFECTS']"
"Nuclear wastes ( as , or in , spent fuel ) are an unresolved problem .",['WASTE']
Nuclear waste poses a danger to the environment for hundreds of thousands of years : The rippling effect nuclear energy will have on the environment will extend to future generations .,"['ENVIRONMENTAL_IMPACT', 'WASTE']"
Even low-level radioactive waste requires centuries to reach acceptable levels .,['WASTE']
More than half a century after Eisenhower ' s speech the planet is left with the legacy of nuclear waste .,['WASTE']
"On average , a nuclear power plant annually generates 20 metric tons of used nuclear fuel , classified as high-level radioactive waste .",['WASTE']
"John Large , an international expert on nuclear power , has said that if a plane was flown into the nuclear waste storage tanks at Sellafield the whole of the English Midlands could be catastrophically contaminated .",['ENVIRONMENTAL_IMPACT']
Nuclear power plants increase the risk of cancer : Every nuclear reactor churns massive amounts of radioactive waste .,"['WASTE', 'HEALTH_EFFECTS']"
Even low level radioactive waste takes hundreds of years to achieve adequate levels of safety .,['WASTE']
"This , plus the constant danger that radioactive material could leak into soil or into water supplies means for some , the perceived benefits are vastly outweighed by the risks .",['ENVIRONMENTAL_IMPACT']
"If the government opened the long-term nuclear repository that was supposed to be beneath Yucca Mountain in Nevada today , it would be immediately filled with already existing nuclear waste .",['WASTE']
The nuclear power can be dangerous and unsafe .,['ACCIDENTS/SECURITY']
"It produces enormous amounts of carcinogenic toxic radioactive waste , some of which is dangerous for thousands of years .",['WASTE']
Safety studies of Sellafield carried out for local authorities tell us that a direct hit by a passenger jet on the Sellafield nuclear reprocessing plant would contaminate Britain with two and a half times more radioactivity than the amount that escaped during the Chernobyl disaster5 .,"['ENVIRONMENTAL_IMPACT', 'ACCIDENTS/SECURITY']"
Actually transporting nuclear fuel to and from plants represents a pollution hazard .,['ENVIRONMENTAL_IMPACT']
Another effect of renewed operation is a risk of a nuclear accident .,['ACCIDENTS/SECURITY']
"In reality , nuclear power is an inherently dangerous activity .",['ACCIDENTS/SECURITY']
What can a terrorist do with nuclear waste that can not be used in nuclear weapons ?,"['WASTE', 'WEAPONS']"
"Serious radioactive contamination spread over 150,000 square kilometers in Byelorussia , Ukraine and Russia .",['ENVIRONMENTAL_IMPACT']
"While measures are taken to ensure that no radiation is being pumped into the environment , other heavy metals and pollutants can make their way out of the chamber .",['ENVIRONMENTAL_IMPACT']
One problem with nuclear reactors is what to do with the high level waste they produce .,['WASTE']
"Generated throughout all parts of the fuel cycle , this waste poses a serious danger to human health .","['WASTE', 'HEALTH_EFFECTS']"
"Now that the United States has removed the ban on recycling used fuel , it will be possible to use that energy and to greatly reduce the amount of waste that needs treatment and disposal .",['WASTE']
"Well some people think it ' s too dangerous , because the process also releases lots of radiation - a type of energy that can hurt people if they ' re exposed to it .",['HEALTH_EFFECTS']
Burying nuclear waste creates risks for future generations .,['WASTE']
They can potentially have catastrophic radiological releases in case of a serious accident or a terrorist attack from the piles of radioactive waste stored at each site .,"['WASTE', 'ACCIDENTS/SECURITY']"
International experts agree that there will continue to be disastrous failures at nuclear power stations and that this can not be avoided2 .,['ACCIDENTS/SECURITY']
"Of course that is a high risk , but if you put that in relation to the energy produced you find all of a sudden , that nuclear is by far the safest and cleanest of all known energy forms , that solar and wind have 10 or 100 times higher risks of killing someone and more pollution .","['ENVIRONMENTAL_IMPACT', 'RENEWABLES', 'ACCIDENTS/SECURITY']"
"Numerous unresolved problems remain with the geologic and hydrologic suitability of the proposed site , and serious questions have been raised about its ability to contain highly radioactive waste for the time required . """,['WASTE']
"The risks from nuclear energy are real , inherent and long-lasting .",['OTHER']
"Existing and future nuclear waste can be reduced through waste recycling and reprocessing , similar to Japan and the EU ( at added cost ) .",['WASTE']
We could store radiation in the desert and sell nuclear energy for money or other types of goods .,['OTHER']
"Yucca Mountain is in danger of contaminating ground water to a large water basin , affecting millions of people .","['ENVIRONMENTAL_IMPACT', 'HEALTH_EFFECTS']"
Even transporting nuclear fuel to and from plants poses a contamination risk .,['ENVIRONMENTAL_IMPACT']
The waste from nuclear energy is extremely dangerous and it has to be carefully looked after for several thousand years ( 10 ' 000 years according to United States Environmental Protection Agency standards ) .,['WASTE']
"If you ' re proposing a new generation of nuclear power plants , you ' ll need somewhere to put the waste .",['WASTE']
"Transporting nuclear waste is a public safety concern - Since the storage of nuclear waste often takes place in designated areas within a large territory , it becomes necessary to transport nuclear waste long distances to these locations .",['WASTE']
"Over time , spent nuclear fuel decays to safe radioactive levels , but this process takes tens of thousands of years .",['WASTE']
